INDV,MEAN_DEPTH,F_MISS,E.HOM.,Fis,POP,Sample,Time,Loc
Cyb-FLS_MGL-16203,105.677,0.0124215,4880.5,-0.0935,Cyb-FLS,Cyb-FLS_MGL-16203,Contemp,FLS
Cyb-FLS_MGL-16205,111.445,0.00774514,4904.7,0.0194,Cyb-FLS,Cyb-FLS_MGL-16205,Contemp,FLS
Cyb-FLS_MGL-16210,113.732,0.0116908,4892.6,0.0282,Cyb-FLS,Cyb-FLS_MGL-16210,Contemp,FLS
Cyb-FLS_MGL-16215,378.847,0.00730674,4908,0.07526,Cyb-FLS,Cyb-FLS_MGL-16215,Contemp,FLS
Cyb-FLS_MGL-16222,64.3234,0.0208973,4839.6,0.02778,Cyb-FLS,Cyb-FLS_MGL-16222,Contemp,FLS
Cyb-FLS_MGL-16235,116.252,0.00496858,4918.7,0.15235,Cyb-FLS,Cyb-FLS_MGL-16235,Contemp,FLS
Cyb-FLS_MGL-16247,128.248,0.00803741,4904.1,-0.04975,Cyb-FLS,Cyb-FLS_MGL-16247,Contemp,FLS
Cyb-FLS_MGL-16262,60.4918,0.0153441,4869.5,0.05248,Cyb-FLS,Cyb-FLS_MGL-16262,Contemp,FLS
Cyb-FLS_MGL-16263,118.528,0.00409177,4921.1,0.12048,Cyb-FLS,Cyb-FLS_MGL-16263,Contemp,FLS
Cyb-FLS_MGL-16264,221.989,0.0105217,4893.4,-0.15512,Cyb-FLS,Cyb-FLS_MGL-16264,Contemp,FLS
Cyb-FLS_MGL-16266,158.443,0.00423791,4921.6,0.19643,Cyb-FLS,Cyb-FLS_MGL-16266,Contemp,FLS
Cyb-FLS_MGL-16267,183.003,0.00759901,4906,0.05448,Cyb-FLS,Cyb-FLS_MGL-16267,Contemp,FLS
Cyb-FLS_MGL-16268,79.8173,0.0111062,4891.8,0.02587,Cyb-FLS,Cyb-FLS_MGL-16268,Contemp,FLS
Cyb-FLS_MGL-16269,167.806,0.00423791,4921,0.06746,Cyb-FLS,Cyb-FLS_MGL-16269,Contemp,FLS
Cyb-FLS_MGL-16271,92.3398,0.0166594,4865.4,0.20048,Cyb-FLS,Cyb-FLS_MGL-16271,Contemp,FLS
Cyb-FLS_MGL-16272,173.076,0.00584539,4914.1,0.05691,Cyb-FLS,Cyb-FLS_MGL-16272,Contemp,FLS
Cyb-FLS_MGL-16274,119.581,0.00204589,4930.8,0.1072,Cyb-FLS,Cyb-FLS_MGL-16274,Contemp,FLS
Cyb-FLS_MGL-16275,52.3505,0.0413561,4748.7,0.03518,Cyb-FLS,Cyb-FLS_MGL-16275,Contemp,FLS
Cyb-FLS_MGL-16276,108.793,0.00686833,4910.5,-0.04029,Cyb-FLS,Cyb-FLS_MGL-16276,Contemp,FLS
Cyb-FLS_MGL-16277,68.3312,0.0111062,4890.6,-0.04643,Cyb-FLS,Cyb-FLS_MGL-16277,Contemp,FLS
Cyb-HEAD_MGL-16120,38.237,0.0615227,4636.7,-0.01448,Cyb-HEAD,Cyb-HEAD_MGL-16120,Contemp,HEAD
Cyb-HEAD_MGL-16123,62.0434,0.0118369,4890,0.10268,Cyb-HEAD,Cyb-HEAD_MGL-16123,Contemp,HEAD
Cyb-HEAD_MGL-16124,192.057,0.00906035,4898.3,-0.12511,Cyb-HEAD,Cyb-HEAD_MGL-16124,Contemp,HEAD
Cyb-HEAD_MGL-16128_dup,133.308,0.0124215,4883.1,-0.24856,Cyb-HEAD,Cyb-HEAD_MGL-16128,Contemp,HEAD
Cyb-HEAD_MGL-16128,74.6362,0.0124215,4883.8,-0.2442,Cyb-HEAD,Cyb-HEAD_MGL-16128,Contemp,HEAD
Cyb-HEAD_MGL-16130,77.3101,0.00467631,4919.7,0.16299,Cyb-HEAD,Cyb-HEAD_MGL-16130,Contemp,HEAD
Cyb-HEAD_MGL-16131,135.474,0.00847581,4905.8,-0.01488,Cyb-HEAD,Cyb-HEAD_MGL-16131,Contemp,HEAD
Cyb-HEAD_MGL-16132,176.09,0.00540699,4914.7,0.08688,Cyb-HEAD,Cyb-HEAD_MGL-16132,Contemp,HEAD
Cyb-HEAD_MGL-16143,65.1692,0.0100833,4893,-0.16905,Cyb-HEAD,Cyb-HEAD_MGL-16143,Contemp,HEAD
Cyb-HEAD_MGL-16174,142.923,0.00438404,4922.6,0.12213,Cyb-HEAD,Cyb-HEAD_MGL-16174,Contemp,HEAD
Cyb-HEAD_MGL-16176,210.489,0.0135905,4874.5,-0.03835,Cyb-HEAD,Cyb-HEAD_MGL-16176,Contemp,HEAD
Cyb-HEAD_MGL-16178,441.359,0.00730674,4910.3,0.30293,Cyb-HEAD,Cyb-HEAD_MGL-16178,Contemp,HEAD
Cyb-HEAD_MGL-16179,76.4002,0.0473477,4715.2,-0.01183,Cyb-HEAD,Cyb-HEAD_MGL-16179,Contemp,HEAD
Cyb-HEAD_MGL-16181,195.41,0.00526085,4916.1,0.12604,Cyb-HEAD,Cyb-HEAD_MGL-16181,Contemp,HEAD
Cyb-HEAD_MGL-16182,224.88,0.00832968,4903.5,-0.05108,Cyb-HEAD,Cyb-HEAD_MGL-16182,Contemp,HEAD
Cyb-HEAD_MGL-16183,316.762,0.00657606,4913,0.12172,Cyb-HEAD,Cyb-HEAD_MGL-16183,Contemp,HEAD
Cyb-HEAD_MGL-16184,269.495,0.0112524,4887.4,0.1337,Cyb-HEAD,Cyb-HEAD_MGL-16184,Contemp,HEAD
Cyb-HEAD_MGL-16189,48.8286,0.102733,4431.9,-0.05237,Cyb-HEAD,Cyb-HEAD_MGL-16189,Contemp,HEAD
Cyb-HEAD_MGL-16190,35.6935,0.0977641,4472.9,0.13735,Cyb-HEAD,Cyb-HEAD_MGL-16190,Contemp,HEAD
Cyb-HEAD_MGL-16191,96.1349,0.00949876,4897.3,0.06778,Cyb-HEAD,Cyb-HEAD_MGL-16191,Contemp,HEAD
Cyb-HEAD_MGL-16192,66.8562,0.00847581,4904.5,0.15066,Cyb-HEAD,Cyb-HEAD_MGL-16192,Contemp,HEAD
Cyb-HEAD_MGL-16198,96.2605,0.00920649,4899.9,0.04286,Cyb-HEAD,Cyb-HEAD_MGL-16198,Contemp,HEAD
Cyb-USFW_MGL-19006,297.892,0.00409177,4922.9,0.09201,Cyb-USFW,Cyb-USFW_MGL-19006,Contemp,USFW
Cyb-USFW_MGL-19007,182.174,0.00409177,4922.5,0.19383,Cyb-USFW,Cyb-USFW_MGL-19007,Contemp,USFW
Cyb-USFW_MGL-19010,217.285,0.00789128,4906.5,-0.128,Cyb-USFW,Cyb-USFW_MGL-19010,Contemp,USFW
Cyb-USFW_MGL-19011,181.546,0.0112524,4891.2,-0.13315,Cyb-USFW,Cyb-USFW_MGL-19011,Contemp,USFW
Cyb-USFW_MGL-19012,88.56,0.00745287,4905.3,-0.18208,Cyb-USFW,Cyb-USFW_MGL-19012,Contemp,USFW
Cyb-USFW_MGL-19013,79.5351,0.0071606,4909.3,0.01587,Cyb-USFW,Cyb-USFW_MGL-19013,Contemp,USFW
Cyb-USFW_MGL-19016,49.2429,0.0160748,4865.5,0.06547,Cyb-USFW,Cyb-USFW_MGL-19016,Contemp,USFW
Cyb-USFW_MGL-19018,100.006,0.0141751,4874,-0.1382,Cyb-USFW,Cyb-USFW_MGL-19018,Contemp,USFW
Cyb-USFW_MGL-19020,48.7543,0.0245506,4828.9,-0.14271,Cyb-USFW,Cyb-USFW_MGL-19020,Contemp,USFW
Cyb-USFW_MGL-19022,117.409,0.00993716,4894.9,-0.14504,Cyb-USFW,Cyb-USFW_MGL-19022,Contemp,USFW
Cyb-USFW_MGL-19023,42.6661,0.00818355,4902.9,-0.12861,Cyb-USFW,Cyb-USFW_MGL-19023,Contemp,USFW
Cyb-USFW_MGL-19025,130.607,0.0127137,4884.2,0.07192,Cyb-USFW,Cyb-USFW_MGL-19025,Contemp,USFW
Cyb-USFW_MGL-19026,99.1942,0.00906035,4897.8,-0.04744,Cyb-USFW,Cyb-USFW_MGL-19026,Contemp,USFW
Cyb-USFW_MGL-19028,196.425,0.00847581,4902.4,0.06176,Cyb-USFW,Cyb-USFW_MGL-19028,Contemp,USFW
Cyb-USFW_MGL-19029,184.724,0.00409177,4923.8,-0.01106,Cyb-USFW,Cyb-USFW_MGL-19029,Contemp,USFW
Cyb-USFW_MGL-19030,317.408,0.00453018,4920.9,-0.09039,Cyb-USFW,Cyb-USFW_MGL-19030,Contemp,USFW
Cyb-USFW_MGL-19031,122.405,0.00555312,4915.7,0.11413,Cyb-USFW,Cyb-USFW_MGL-19031,Contemp,USFW
Cyb-USFW_MGL-19034,48.5574,0.0138828,4875.8,0.02322,Cyb-USFW,Cyb-USFW_MGL-19034,Contemp,USFW
Cyb-USFW_MGL-19036,113.343,0.0106678,4892.4,0.04266,Cyb-USFW,Cyb-USFW_MGL-19036,Contemp,USFW
Cyb-USFW_MGL-19037,51.9905,0.00979103,4894.4,-0.05743,Cyb-USFW,Cyb-USFW_MGL-19037,Contemp,USFW
Cyb-USFW_MGL-19038,206.59,0.00613766,4909.5,0.03378,Cyb-USFW,Cyb-USFW_MGL-19038,Contemp,USFW
Cyb-USFW_MGL-19041,47.9595,0.00759901,4905.8,-0.17979,Cyb-USFW,Cyb-USFW_MGL-19041,Contemp,USFW
Cyb-USFW_MGL-19042,89.9642,0.0273272,4810.8,-0.02388,Cyb-USFW,Cyb-USFW_MGL-19042,Contemp,USFW
Cyb-USFW_MGL-19043,72.2548,0.0220663,4836.2,-0.05215,Cyb-USFW,Cyb-USFW_MGL-19043,Contemp,USFW
Cyb-USFW_MGL-19044,150.977,0.00803741,4900.7,-0.10114,Cyb-USFW,Cyb-USFW_MGL-19044,Contemp,USFW
Cyb-USFW_MGL-19046,32.1388,0.0438404,4729.4,-0.01411,Cyb-USFW,Cyb-USFW_MGL-19046,Contemp,USFW
Cyb-USFW_MGL-19048,110.948,0.0071606,4909.7,-0.12266,Cyb-USFW,Cyb-USFW_MGL-19048,Contemp,USFW
Cyb-USFW_MGL-19052,151.905,0.00321496,4927.7,-0.01101,Cyb-USFW,Cyb-USFW_MGL-19052,Contemp,USFW
Cyb-USFW_MGL-19053,39.3682,0.0213357,4840.6,-0.09516,Cyb-USFW,Cyb-USFW_MGL-19053,Contemp,USFW
Cyb-USFW_MGL-19050,235.433,0.00482245,4916.7,0.15165,Cyb-USFW,Cyb-USFW_MGL-19050,Contemp,USFW
Cyb-USFW_MGL-19052_dup,312.761,0.00365337,4924,-0.00901,Cyb-USFW,Cyb-USFW_MGL-19052,Contemp,USFW
Cyb-USFW_MGL-19055,93.7019,0.0112524,4891.3,0.02882,Cyb-USFW,Cyb-USFW_MGL-19055,Contemp,USFW
Samp_01,51.7571,0.0188514,4851.2,0.15336,Black_DY,Samp_01,Hist,DY
Samp_02,68.3202,0.00876808,4897.7,0.00443,Black_DY,Samp_02,Hist,DY
Samp_03,64.5103,0.0113985,4886.2,0.15363,Black_DY,Samp_03,Hist,DY
Samp_04,37.7609,0.0467631,4709.3,-0.08608,Black_DY,Samp_04,Hist,DY
Samp_05,53.2443,0.0172439,4858,0.19191,Black_DY,Samp_05,Hist,DY
Samp_06,69.4716,0.015198,4863.6,-0.1828,Black_DY,Samp_06,Hist,DY
Samp_07,75.1932,0.00891422,4899.6,-0.0971,Black_DY,Samp_07,Hist,DY
Samp_08,82.7574,0.0141751,4868.2,-0.07087,Black_DY,Samp_08,Hist,DY
Samp_09,67.5109,0.0149057,4869.2,-0.12265,Black_DY,Samp_09,Hist,DY
Samp_10,87.5392,0.0182668,4850.9,-0.33507,Black_DY,Samp_10,Hist,DY
Samp_11,88.5124,0.011983,4888.5,0.12175,Black_DY,Samp_11,Hist,DY
Samp_12,73.853,0.00979103,4890.5,-0.05471,Black_DY,Samp_12,Hist,DY
Samp_13,78.9629,0.0168055,4862.2,0.06565,Black_DY,Samp_13,Hist,DY
Samp_14,74.4591,0.0118369,4880.7,-0.02231,Black_DY,Samp_14,Hist,DY
Samp_15,76.842,0.0071606,4906.6,0.07541,Black_DY,Samp_15,Hist,DY
Samp_16,105.27,0.0153441,4864.7,-0.37966,Black_DY,Samp_16,Hist,DY
Samp_17,76.7718,0.0143212,4868.7,-0.04862,Black_DY,Samp_17,Hist,DY
Samp_18,81.3799,0.0113985,4881.8,0.02681,Black_DY,Samp_18,Hist,DY
Samp_19,113.47,0.0149057,4868,-0.12308,Black_DY,Samp_19,Hist,DY
Samp_20,75.4473,0.00686833,4906.3,0.0467,Black_DY,Samp_20,Hist,DY
Samp_21,18.9591,0.163817,4143.1,0.00633,Black_DY,Samp_21,Hist,DY
Samp_22,78.6775,0.00730674,4907.4,-0.07758,Black_DY,Samp_22,Hist,DY
